station,label,0
hsn_20201227,Rhizaria,6
hsn_20201227,Rhizosolenia,12
hsn_20201227,Salpingella,1
hsn_20201227,Undellidae,15
hsn_20201227,artefact,2
hsn_20201227,bubble,2
hsn_20201227,crumple sphere,2
hsn_20201227,detritus,328
hsn_20201227,egg sac,1
hsn_20201227,elongated cells,2
hsn_20201227,fiber,1
hsn_20201227,lightrods,49
hsn_20201227,multiple<Diatoma,1
hsn_20201227,multiple<other,11
hsn_20201227,nauplii,81
hsn_20201227,other,6
hsn_20201227,part<Crustacea,53
hsn_20201227,pennate,4
hsn_20201227,rods,26
hsn_20201227,round cells,7
hsn_20201227,transparent,37
hsn_20210120_4k,Amphorides,1
hsn_20210120_4k,Calanoida,1
hsn_20210120_4k,Chaetoceros,2
hsn_20210120_4k,Ciliophora,1
hsn_20210120_4k,Cyanobacteria,141
hsn_20210120_4k,Diatoma,253
hsn_20210120_4k,Dictyochophyceae,1
hsn_20210120_4k,Eucampia,2
hsn_20210120_4k,Eutintinnus,1
hsn_20210120_4k,Gonyaulacales,1
hsn_20210120_4k,Hemiaulus,60
hsn_20210120_4k,Neoceratium,1
hsn_20210120_4k,Pyrocystaceae,1
hsn_20210120_4k,Steenstrupiella,2
hsn_20210120_4k,Tintinnida,2
hsn_20210120_4k,artefact,18
hsn_20210120_4k,bubble,1
hsn_20210120_4k,detritus,379
hsn_20210120_4k,dry,178
hsn_20210120_4k,ghost,5
hsn_20210120_4k,lightrods,6
hsn_20210120_4k,multiple<Diatoma,10
hsn_20210120_4k,multiple<other,9
hsn_20210120_4k,nauplii,1
hsn_20210120_4k,other,1
hsn_20210120_4k,part<Crustacea,14
hsn_20210120_4k,rods,8
hsn_20210120_4k,round cells,5
hsn_20210120_4k,transparent,83
